PULocationID,DOLocationID,amount,duration,count,trip_distance,pu_zone,do_zone
14,228,10.66,10.28,25,1.8124,Bay Ridge,Sunset Park West
228,40,10.022222222222222,10.507407407407406,18,1.79,Sunset Park West,Carroll Gardens
40,65,9.51590909090909,11.125568181818183,88,1.4018181818181819,Carroll Gardens,Downtown Brooklyn/MetroTech
65,83,20.754545454545454,14.566666666666668,11,6.295454545454546,Downtown Brooklyn/MetroTech,Elmhurst/Maspeth
83,95,15.30227272727273,15.998484848484848,22,3.1631818181818185,Elmhurst/Maspeth,Forest Hills
95,135,9.981818181818182,9.739141414141415,66,1.8713636363636363,Forest Hills,Kew Gardens Hills
135,101,28.458536585365852,23.22439024390244,41,8.920487804878048,Kew Gardens Hills,Glen Oaks
