index,count,zone
138,251,LaGuardia Airport
132,250,JFK Airport
137,234,Kips Bay
70,234,East Elmhurst
140,233,Lenox Hill East
170,232,Murray Hill
186,231,Penn Station/Madison Sq West
162,227,Midtown East
48,226,Clinton East
68,223,East Chelsea
237,220,Upper East Side South
141,220,Lenox Hill West
161,219,Midtown Center
164,218,Midtown South
100,218,Garment District
230,216,Times Sq/Theatre District
107,216,Gramercy
236,216,Upper East Side North
75,215,East Harlem South
233,215,UN/Turtle Bay South
79,214,East Village
163,213,Midtown North
234,213,Union Sq
263,212,Yorkville West
142,208,Lincoln Square East
90,207,Flatiron
229,201,Sutton Place/Turtle Bay North
231,200,TriBeCa/Civic Center
238,199,Upper West Side North
74,198,East Harlem North
239,192,Upper West Side South
148,190,Lower East Side
143,189,Lincoln Square West
43,188,Central Park
87,188,Financial District North
249,184,West Village
246,183,West Chelsea/Hudson Yards
113,183,Greenwich Village North
262,183,Yorkville East
42,180,Central Harlem North
41,178,Central Harlem
151,177,Manhattan Valley
88,177,Financial District South
50,176,Clinton West
244,176,Washington Heights South
261,175,World Trade Center
114,174,Greenwich Village South
144,174,Little Italy/NoLiTa
76,170,East New York
166,167,Morningside Heights
232,161,Two Bridges/Seward Park
97,159,Fort Greene
211,157,SoHo
61,157,Crown Heights North
7,156,Astoria
25,155,Boerum Hill
45,153,Chinatown
226,153,Sunnyside
129,153,Jackson Heights
13,152,Battery Park City
35,151,Brownsville
168,149,Mott Haven/Port Morris
65,147,Downtown Brooklyn/MetroTech
116,146,Hamilton Heights
223,146,Steinway
188,144,Prospect-Lefferts Gardens
181,143,Park Slope
33,143,Brooklyn Heights
209,143,Seaport
95,142,Forest Hills
24,142,Bloomingdale
158,141,Meatpacking/West Village West
225,141,Stuyvesant Heights
125,138,Hudson Sq
179,138,Old Astoria
49,138,Clinton Hill
224,137,Stuy Town/Peter Cooper Village
17,137,Bedford
89,136,Flatbush/Ditmas Park
4,136,Alphabet City
146,135,Long Island City/Queens Plaza
14,135,Bay Ridge
39,134,Canarsie
228,134,Sunset Park West
145,133,Long Island City/Hunters Point
193,133,Queensbridge/Ravenswood
82,131,Elmhurst
247,128,West Concourse
37,128,Bushwick South
167,127,Morrisania/Melrose
197,127,Richmond Hill
80,127,East Williamsburg
243,126,Washington Heights North
55,125,Coney Island
256,125,Williamsburg (South Side)
152,123,Manhattanville
235,123,University Heights/Morris Heights
69,122,East Concourse/Concourse Village
130,122,Jamaica
196,121,Rego Park
159,120,Melrose South
260,118,Woodside
119,118,Highbridge
10,117,Baisley Park
242,117,Van Nest/Morris Park
91,117,Flatlands
213,116,Soundview/Castle Hill
216,115,South Ozone Park
51,115,Co-Op City
62,115,Crown Heights South
36,113,Bushwick North
72,113,East Flatbush/Remsen Village
205,113,Saint Albans
47,112,Claremont/Bathgate
121,112,Hillcrest/Pomonok
165,112,Midwood
78,111,East Tremont
182,111,Parkchester
26,110,Borough Park
169,110,Mount Hope
66,109,DUMBO/Vinegar Hill
86,107,Far Rockaway
255,107,Williamsburg (North Side)
92,107,Flushing
112,107,Greenpoint
177,107,Ocean Hill
189,107,Prospect Heights
127,106,Inwood
81,106,Eastchester
71,105,East Flatbush/Farragut
